Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
28-Feb-20, TCS, EQ,2068.0,2069.5,1990.0,2010.0,2000.15,4298076,87113.96
27-Feb-20, TCS, EQ,2119.95,2119.95,2086.2,2097.0,2105.5,2349001,49375.5
26-Feb-20, TCS, EQ,2154.0,2163.9,2112.95,2122.0,2123.6,2686842,57422.51
25-Feb-20, TCS, EQ,2115.5,2176.65,2111.0,2163.0,2156.15,2674567,57473.61
24-Feb-20, TCS, EQ,2156.0,2178.95,2106.7,2112.0,2115.35,3092877,66569.83
20-Feb-20, TCS, EQ,2204.5,2214.4,2151.25,2157.0,2156.8,2317278,50729.73
19-Feb-20, TCS, EQ,2215.75,2230.0,2190.5,2194.1,2196.35,1760463,38902.85
18-Feb-20, TCS, EQ,2199.95,2221.0,2186.05,2215.0,2215.75,2486223,54897.92
17-Feb-20, TCS, EQ,2196.95,2217.0,2190.2,2202.05,2203.25,1774724,39124.63
14-Feb-20, TCS, EQ,2188.0,2212.0,2171.0,2183.0,2184.2,1500115,32865.48
13-Feb-20, TCS, EQ,2172.95,2197.0,2171.0,2191.0,2191.95,1645948,35992.06
12-Feb-20, TCS, EQ,2151.1,2185.0,2150.0,2173.1,2170.75,1620407,35220.58
11-Feb-20, TCS, EQ,2163.0,2174.8,2147.6,2152.7,2153.4,1335820,28822.67
10-Feb-20, TCS, EQ,2140.9,2167.0,2119.0,2153.1,2161.95,2383032,51232.71
7-Feb-20, TCS, EQ,2139.0,2151.0,2119.0,2138.0,2136.55,2083442,44406.66
6-Feb-20, TCS, EQ,2145.0,2174.2,2115.5,2129.45,2128.35,2640065,56656.3
5-Feb-20, TCS, EQ,2115.0,2156.7,2104.3,2147.5,2146.55,2439322,52107.92
4-Feb-20, TCS, EQ,2129.0,2136.7,2086.6,2111.95,2107.75,3509339,74092.07
3-Feb-20, TCS, EQ,2152.0,2194.7,2093.2,2110.0,2102.5,4728073,101009.13
1-Feb-20, TCS, EQ,2079.5,2180.7,2063.6,2167.5,2164.85,3319716,70700.08
31-Jan-20, TCS, EQ,2139.4,2144.35,2071.6,2082.4,2079.05,3287223,68970.92
30-Jan-20, TCS, EQ,2160.0,2165.0,2125.0,2134.65,2137.85,2098567,44914.87
29-Jan-20, TCS, EQ,2185.0,2186.95,2150.0,2154.0,2154.6,2306761,49921.16
28-Jan-20, TCS, EQ,2174.0,2187.8,2152.0,2183.8,2183.75,1743024,37814.54
27-Jan-20, TCS, EQ,2189.7,2193.45,2165.0,2168.3,2169.25,1549101,33661.88
24-Jan-20, TCS, EQ,2190.95,2190.95,2170.0,2185.0,2183.4,1319430,28759.88
23-Jan-20, TCS, EQ,2209.8,2217.75,2183.7,2188.0,2190.95,2069866,45553.83
22-Jan-20, TCS, EQ,2181.0,2210.0,2173.7,2209.8,2206.9,1773686,39001.38
21-Jan-20, TCS, EQ,2169.95,2186.55,2158.05,2172.35,2171.05,1902980,41312.69
20-Jan-20, TCS, EQ,2194.9,2242.2,2156.2,2174.0,2170.35,5817599,126967.98
17-Jan-20, TCS, EQ,2240.75,2253.55,2213.0,2220.0,2219.1,3281059,73245.5
16-Jan-20, TCS, EQ,2226.95,2249.0,2215.0,2240.0,2238.8,3117214,69694.83
15-Jan-20, TCS, EQ,2213.0,2231.0,2194.2,2225.05,2226.9,2620681,57986.45
14-Jan-20, TCS, EQ,2195.0,2229.8,2195.0,2210.0,2206.9,2948452,65236.22
13-Jan-20, TCS, EQ,2217.85,2218.95,2184.7,2193.0,2190.35,2843893,62498.73
10-Jan-20, TCS, EQ,2228.0,2234.0,2208.0,2213.0,2213.55,1915807,42521.5
9-Jan-20, TCS, EQ,2248.75,2251.95,2210.0,2220.0,2214.35,3734173,83039.24
8-Jan-20, TCS, EQ,2205.0,2260.0,2202.05,2253.35,2255.25,5197454,116434.24
7-Jan-20, TCS, EQ,2200.5,2214.65,2183.8,2205.0,2205.85,2429317,53530.64
6-Jan-20, TCS, EQ,2205.0,2225.95,2187.9,2201.35,2200.45,3023209,66658.55
3-Jan-20, TCS, EQ,2164.0,2223.0,2164.0,2201.0,2200.65,4655761,102392.06
2-Jan-20, TCS, EQ,2179.95,2179.95,2149.2,2157.0,2157.65,2380752,51391.56
1-Jan-20, TCS, EQ,2168.0,2183.9,2154.0,2170.0,2167.6,1354908,29408.82
31-Dec-19, TCS, EQ,2189.0,2197.0,2157.45,2165.0,2161.7,1909289,41463.55
30-Dec-19, TCS, EQ,2207.0,2225.0,2177.1,2183.35,2183.2,2288830,50231.41
